manufacturer;name;category;product_url;price;image_url;description;sku;currency;stock;ProductWeight;identifier;net_price
"Rédei Kertimag";"PETREZSELYEM SIMALEVELŰ  RÉDEI #K DB";"Vetőmag > Zöldség";https://www.online-gazda.hu/petrezselyem-simalevelu-redei-k-db_p471;170;https://www.online-gazda.hu/img/products//medium/PETREZSELYEM_SIMALEVELU_REDEI_K_DB.JPG;"Sötétzöld, dús lombú fajta, sima levélzettel. Viszonylag gyorsan növekszik, jól bírja a többszöri vágást. Áttelel, de a töveket késő ősszel fel is szedhetjük, és becserepezve hajtathatjuk. Így a tél folyamán is szedhető. Többet terem, ha a hajtatáshoz augusztus elején vetjük szabadföldbe. Kelésig naponta öntözzük. Ősszel fóliát húzunk fölé. Hidegtálak, szendvicsek elengedhetetlen díszítője.";1390;HUF;0.00;"5 g";471;134
"Rédei Kertimag";"PETREZSELYEM HOSSZÚ    RÉDEI #K DB";"Vetőmag > Zöldség";https://www.online-gazda.hu/petrezselyem-hosszu-redei-k-db_p472;170;https://www.online-gazda.hu/img/products//medium/PETREZSELYEM_HOSSZU_REDEI_K_DB.JPG;"Szabadföldi termesztésre alkalmas, 20–24 cm gyökérhosszúságú fajta. Tenyészideje 200–220 nap. Gyökere fokozatosan keskenyedő, vállátmérője mindössze 2–3 cm. Hosszú, fehér gyökerei csak mélyen megmunkált talajon adnak jó minőségű termést. Levélzete középerős, sötétzöld. Kiváló termőképessége dús lombbal párosul. Friss fogyasztásra és tárolásra használható fel.";1391;HUF;0.00;"4 g";472;134
"Rédei Kertimag";"PETREZSELYEM HANÁCKÁ   RÉDEI #A DB";"Vetőmag > Zöldség";https://www.online-gazda.hu/petrezselyem-hanacka-redei-a-db_p473;190;https://www.online-gazda.hu/img/products//medium/PETREZSELYEM_HANACKA_REDEI_A_DB.JPG;"Könnyen termeszthető, középhosszú tenyészidejű (180-200 nap), félhosszú típusú fajta. Lisztharmattal szemben ellenálló, krém fehér színű, 14-17 cm hosszú, elkeskenyedő gyökerű petrezselyem. Erős, &nbsp;sötétzöld levélzetű fajta. Friss fogyasztásra és tárolásra is javasoljuk.&nbsp;";1392;HUF;0.00;"5 g";473;150
"Rédei Kertimag";"PETREZSELYEM FÉLHOSSZÚ RÉDEI #K DB";"Vetőmag > Zöldség";https://www.online-gazda.hu/petrezselyem-felhosszu-redei-k-db_p474;170;https://www.online-gazda.hu/img/products//medium/PETREZSELYEM_FELHOSSZU_REDEI_K_DB.JPG;"&nbsp; &nbsp; Félhosszú Szabadföldi termesztésre alkalmas,180-200 nap tenyészidejű, gyökere fehér színű. Váll átmérője 3-4cm, hosszúsága 20-24cm, levélzete erős, sötétzöld. Kiváló termőképességű, géppel is szedhető fajta. Friss fogyasztásra és tárolásra is alkalmas.&nbsp; Tartósítóipari felhasználásra is alkalmas. Tél alá vethető. Vetés: február-március, 1,5-2 cm mélyre Szedés: szeptember&nbsp;";1394;HUF;0.00;"4 g";474;134
"Rédei Kertimag";"PETREZSELYEM KORAI CUKOR RÉDEI #K DB";"Vetőmag > Zöldség";https://www.online-gazda.hu/petrezselyem-korai-cukor-redei-k-db_p475;170;https://www.online-gazda.hu/img/products//medium/PETREZSELYEM_KORAI_CUKOR_REDEI_K_DB.JPG;"&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; Petrezselyem &nbsp; &nbsp; &nbsp; Korai cukor &nbsp;A legkorábban szedhető fajta.Kis termő képességű. &nbsp;130-140 napos tenyészidejű;rövid gyökerű.Levélzet középerős,színe közép-zöld. Fóliás és korai szabadföldi termesztésre alkalmas fajta.Friss fogyasztásra ajánlott. &nbsp;";1408;HUF;0.00;"4 g";475;134
"Rédei Kertimag";"BROKKOLI CALABRESE     RÉDEI #K DB";"Vetőmag > Zöldség";https://www.online-gazda.hu/brokkoli-calabrese-redei-k-db_p476;170;https://www.online-gazda.hu/img/products//medium/BROKKOLI_CALABRESE_REDEI_K_DB.JPG;"Korai szabadföldi fajta. Rózsája középzöld, a főrózsa leszedése után oldalrózsákat fejleszt, melyek folyamatosan szedhetők. Rendszeres öntözést igényel. Friss fogyasztásra, mélyhűtésre kiválóan alkalmas.&nbsp;  Vetés:&nbsp;április-májusban szabadföldbe, 2 cm mélyen.&nbsp; Vetőmagszükséglet:&nbsp;3-4 g/10 m2&nbsp;&nbsp;direkt vetéshez és 7 g 1.000 palánta előneveléséhez.&nbsp; Kiültetés:&nbsp;május-júniusban.&nbsp; Térállás:&nbsp;50x40 cm.&nbsp; Szedés:&nbsp;augusztus-szeptemberben.&nbsp;";1415;HUF;0.00;"50 g";476;134
"Rédei Kertimag";"BIMBÓSKEL ROSELLA      RÉDEI #K DB";"Vetőmag > Zöldség";https://www.online-gazda.hu/bimboskel-rosella-redei-k-db_p477;170;https://www.online-gazda.hu/img/products//medium/BIMBOSKEL_ROSELLA_REDEI_K_DB.JPG;"Őszi termesztésre alkalmas, rövid tenyészidejű, fagyérzékeny fajta.  A közepes magasságú száron képződő középzöld bimbók novemberig szedhetők.  Friss fogyasztásra alkalmas.";1425;HUF;0.00;"2 g";477;134
"Rédei Kertimag";"KARALÁBÉ GIGANT        RÉDEI #K DB";"Vetőmag > Zöldség";https://www.online-gazda.hu/karalabe-gigant-redei-k-db_p478;170;https://www.online-gazda.hu/img/products//medium/KARALABE_GIGANT_REDEI_K_DB.JPG;"&nbsp; &nbsp; &nbsp; Gigant Szabadföldi termesztésre alkalmas, késői érésű fajta. Kifejezetten nagy fehér gumójú, mérete a 3-5kg-ot is eléri, nem fásodik. Friss fogyasztásra alkalmas.&nbsp;";1433;HUF;0.00;"2 g";478;134
"Rédei Kertimag";"GÖRÖGDINNYE CRIMSON SWEET";"Vetőmag > Zöldség";https://www.online-gazda.hu/gorogdinnye-crimson-sweet_p479;170;https://www.online-gazda.hu/img/products//medium/GOROGDINNYE_CRIMSON_SWEET.JPG;"Késői, nagy hozamú, szabadföldi fajta. Termése gömbölyű, kb. 8-10 kg átlagsúlyú. Héja világoszöld alapon sötétzöld csíkozott, húsa lédús, roppanó, rózsaszín, édes ízű. Toleráns a fuzárium és cladosporium-2 rasszával szemben. Helyrevetéssel vagy palántaneveléssel termeszthetjük.&nbsp; Vetés:&nbsp;melegigényes növény szabadföldbe csak a fagyveszély elmúltával, májusban vessük, 3-5 cm mélyen. A palántáról történő termesztés növeli a koraiságot és kiegyenlített állományt eredményez.&nbsp;Vetőmagszükséglet:&nbsp;3-5g/10 m2&nbsp;. Helyrevetésnél fészkenként 2-3 szem magot vessünk, amit kelés után 1-2 növényre egyelünk. Palántanevelésnél 1000 db palántához 100 g vetőmag szükséges.&nbsp;Térállás:&nbsp;sortávolság: 150 cm, tőtávolság 100 cm.&nbsp;Szedés:&nbsp;VII-VIII-ban.&nbsp;";1497;HUF;0.00;"2 g";479;134
"Rédei Kertimag";"KARALÁBÉ CSEMEGE FEHÉR RÉDEI #K DB";"Vetőmag > Zöldség";https://www.online-gazda.hu/karalabe-csemege-feher-redei-k-db_p480;170;https://www.online-gazda.hu/img/products//medium/KARALABE_CSEMEGE_FEHER_REDEI_K_DB.JPG;"Középkésői fajta nyári termesztésre és őszi értékesítésre de másodnövénynek is ajánlható.  Gumója kékeslila színű, enyhén lapított gömb alakú amely fásodásra-, felrepedésre kevésbé hajlamos.&nbsp;";1434;HUF;0.00;"2 g";480;134
"Rédei Kertimag";"KARALÁBÉ CSEMEGE KÉK   RÉDEI #K DB";"Vetőmag > Zöldség";https://www.online-gazda.hu/karalabe-csemege-kek-redei-k-db_p481;170;https://www.online-gazda.hu/img/products//medium/KARALABE_CSEMEGE_KEK_REDEI_K_DB.JPG;"Friss fogyasztásra! Középkésői fajta nyári termesztésre és őszi értékesítésre de másodnövénynek is ajánlható.  Gumója kékeslila színű, enyhén lapított gömb alakú amely fásodásra-, felrepedésre kevésbé hajlamos.";1439;HUF;0.00;"2 g";481;134
"Rédei Kertimag";"KELKÁPOSZTA VERTUS     RÉDEI #K DB";"Vetőmag > Zöldség";https://www.online-gazda.hu/kelkaposzta-vertus-redei-k-db_p482;170;https://www.online-gazda.hu/img/products//medium/KELKAPOSZTA_VERTUS_REDEI_K_DB.JPG;"&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; Kelkáposzta &nbsp; &nbsp; &nbsp; &nbsp;Vertus &nbsp;Nyári-őszi fajta,másodnövényként is termeszthető,a téli fagymentes napokon is fejlődő,tárolásra alkalmas. Kemény,lapított gömb alakú,nagy fejeket képez. Jó vízellátás mellett nagy termést ad.Tápanyagigénye közepes,kedvezőtlen körülmények között is terem. Vetés:május";1441;HUF;0.00;"5 g";482;134
"Rédei Kertimag";"KELKÁPOSZTA FUTÁR      RÉDEI #K DB";"Vetőmag > Zöldség";https://www.online-gazda.hu/kelkaposzta-futar-redei-k-db_p483;170;https://www.online-gazda.hu/img/products//medium/KELKAPOSZTA_FUTAR_REDEI_K_DB.JPG;"Igen korai! Rövid tenyészidejű, igen korai szabadföldi fajta.  A fej kerek, kissé csúcsosodó, 0,6-0,9 kg-os, levele sárgászöld. Friss fogyasztásra alkalmas.  A korai talaj menti fagyokat jól tűri. Vetés: márciusban szabadföldbe, 2 cm mélyen.";1452;HUF;0.00;"2 g";483;134
"Rédei Kertimag";"FEJESKÁPOSZTA SZENTESI LAPOS RÉDEI / DB";"Vetőmag > Zöldség";https://www.online-gazda.hu/fejeskaposzta-szentesi-lapos-redei-db_p484;190;https://www.online-gazda.hu/img/products//medium/FEJESKAPOSZTA_SZENTESI_LAPOS_REDEI_DB.JPG;"Őszi termesztésre használható, igen nagy termőképességű fajta. Tenyészideje a vetéstől a betakarításig 210-130 nap. Torzsája közepes nagyságú. A fej lapított gömb alakú, zöldesfehér színű, átlagtömege 1,5-2 kg. Friss fogyasztásra, tartósipari felhasználásra és savanyításra alkalmas.";1453;HUF;0.00;"2 g";484;150
"Rédei Kertimag";"FEJESKÁPOSZTA BRAUNSCHWEIGI   RÉDEI  DB";"Vetőmag > Zöldség";https://www.online-gazda.hu/fejeskaposzta-braunschweigi-redei-db_p485;170;https://www.online-gazda.hu/img/products//medium/FEJESKAPOSZTA_BRAUNS_REDEI_K_DB.JPG;"Középkésői Braunschweigi fejeskáposzta  Tenyészideje az ültetéstől a szedésig 110-120 nap. Friss fogyasztásra és savanyításra használható, nem tárolható. Tápanyagigénye mérsékelt. Érése kissé elhúzódik. A fej nagy, lapos, kissé laza. Vetés: májusban szabadföldbe. Vetésmélység: 2cm. Vetőmagszükséglet: palántaneveléshez 6-10g/m2. Kiültetés: júniusban. Térállás: 50x50cm. Szedés: szeptemberben. &nbsp;";1459;HUF;0.00;"5 g";485;134
"Rédei Kertimag";"FEJESKÁPOSZTA JÚ ÓRIÁS RÉDEI #K DB";"Vetőmag > Zöldség";https://www.online-gazda.hu/fejeskaposzta-ju-orias-redei-k-db_p486;170;https://www.online-gazda.hu/img/products//medium/FEJESKAPOSZTA_JU_ORIAS_REDEI_K_DB.JPG;"Fejeskáposzta Júniusi Óriás  Korai szabadföldi termesztésre és másodvetésre alkalmas fajta. A fej gömbölyű, kemény, 0,6–1,2 kg súlyú. Levélzete világoszöld, torzsája rövid. Tenyészideje a vetéstől a betakarításig 60–70 nap. Friss fogyasztásra használható fel.";1460;HUF;0.00;"5 g";486;134
"Rédei Kertimag";"PATISSZON ÓVÁRI FEHÉR  RÉDEI #K DB";"Vetőmag > Zöldség";https://www.online-gazda.hu/patisszon-ovari-feher-redei-k-db_p487;170;https://www.online-gazda.hu/img/products//medium/PATISSZON_OVARI_FEHER_REDEI_K_DB.JPG;"Indátlan típusú csillagtök szabadföldi termesztésre. Vajszínű termése 1-1,5 kg tömegű, héja és húsa fehér. Friss fogyasztásra és, savanyításra is alkalmas. Vetés: meleg igényes növény szabadföldibe csak a fagyveszély elmúltával, V-alakban vessük, 3-5 cm mélyen. A palántás termesztés növeli a koraiságot és kiegyenlített állományt eredményez. Vetőmagszükséglet: 8-10 g/10 m2 . Helyrevetésnél fészkenként 2-3 szem magot vessünk, amit kelés után 1-2 növényre egyelünk. Térállás: sortávolság: 100 cm, tőtávolság 80 cm. Szedés: július-augusztusban.";1462;HUF;0.00;"3 g";487;134
"Rédei Kertimag";"UBORKA DELICATESS      RÉDEI #K DB";"Vetőmag > Zöldség";https://www.online-gazda.hu/uborka-delicatess-redei-k-db_p488;170;https://www.online-gazda.hu/img/products//medium/UBORKA_DELICATESS_REDEI_K_DB.jpg;"Kevert virágú, középhosszú tenyészidejű régi berakóuborka fajta. Erős növekedésű, termése apró tüskés, középzöld. Szabadföldi termesztésre ajánlott. (A tasak kb. 60–70 szem vetőmagot tartalmaz.)";1470;HUF;0.00;"2 g";488;134
"Rédei Kertimag";"UBORKA PEREZ F1        RÉDEI #D DB";"Vetőmag > Zöldség";https://www.online-gazda.hu/uborka-perez-f1-redei-d-db_p489;320;https://www.online-gazda.hu/img/products//medium/UBORKA_PEREZ_F1_REDEI_D_DB.JPG;"&nbsp; &nbsp; &nbsp;Perez F1 Növekedése erőteljes, sötétzöld lombú,egyenletes érésű fajta. Túlnyomóan nővirágú, termése közép vagy sötétzöld, finom tüskés, karcsú, keseredésmentes. Kifejezetten apró méretben való szedésre ajánljuk. Peronoszpórával szemben az egyik legellenállóbb hibrid. Lisztharmattal és vírussal szemben toleráns. Nagy termőképességű. Vetés: május Szedés: július közepe&nbsp;";1475;HUF;0.00;"2 g";489;252
"Rédei Kertimag";"UBORKA MOHIKÁN F1      RÉDEI #D DB";"Vetőmag > Zöldség";https://www.online-gazda.hu/uborka-mohikan-f1-redei-d-db_p490;320;https://www.online-gazda.hu/img/products//medium/UBORKA_MOHIKAN_F1_REDEI_D_DB.JPG;"&nbsp; &nbsp; &nbsp; &nbsp;Uborka &nbsp; &nbsp; &nbsp;Mohikán &nbsp; Szabadföldre az igazi, fólia alatt hajlamos elrúgni a virágokat. &nbsp; Norm. időjárás esetén max. &nbsp;2 x-i permetezés elegendő.&nbsp; &nbsp; Középkorai érésű konzervuborka. Középerős növekedésű, túlnyomóan &nbsp; nővirágú. Termése világoszöld-középzöld,keseredésmentes. &nbsp; Peronoszpórával, lisztharmattal és vírussal szemben toleráns. &nbsp; Szabadföldi termesztésre. &nbsp;&nbsp;";1480;HUF;0.00;"2 g";490;252
"Rédei Kertimag";"UBORKA SZENZÁCIÓ       RÉDEI #K DB";"Vetőmag > Zöldség";https://www.online-gazda.hu/uborka-szenzacio-redei-k-db_p491;170;https://www.online-gazda.hu/img/products//medium/UBORKA_SZENZACIO_REDEI_K_DB.JPG;"Szabadföldi termesztésre ajánlott, tradicionális fajta! Hosszú tenyészidejű, erőteljes növekedésű, kevert virágú, félhosszú salátauborka. Termése hengeres, a kocsánya felé elkeskenyedő, héja sötétzöld, fehér tüskés. Húsa vastag, zsenge, magháza kicsi. Szabadföldi termesztésre ajánlott.";1484;HUF;0.00;"2 g";491;134
"Rédei Kertimag";"CUKKINI BLACK BEAUTY   RÉDEI #K DB";"Vetőmag > Zöldség";https://www.online-gazda.hu/cukkini-black-beauty-redei-k-db_p492;170;https://www.online-gazda.hu/img/products//medium/CUKKINI_BLACK_BEAUTY_REDEI_K_DB.JPG;"Bokor típusú fajta. Termése szabályos henger alakú, gyengén bordázott, héja sötétzöld, húsa fehér. A leszedett termés nagyságától függően sokoldalúan felhasználható tökféle. Vetés: meleg igényes növény szabad földbe csak a fagyveszély elmúltával, májusban vessük, 3-5 cm mélyen. A palántás termesztés növeli a koraiságot és kiegyenlített állományt eredményez. Vetőmagszükséglet: 8-10 g/10 m2 . Helyrevetésnél fészkenként 2-3 szem magot vessünk, amit kelés után 1-2 növényre egyelünk. Térállás: sortávolság: 100 cm, tőtávolság 50-60 cm. Szedés: július-augusztusban.";1485;HUF;0.00;"5 g";492;134
"Rédei Kertimag";"SÁRGADINNYE ANANÁSZ    RÉDEI #K DB";"Vetőmag > Zöldség";https://www.online-gazda.hu/sargadinnye-ananasz-redei-k-db_p493;170;https://www.online-gazda.hu/img/products//medium/SARGADINNYE_ANANASZ_REDEI_K_DB.JPG;"Rövid tenyészidejű, jó termőképességű. középerős növekedésű fajta, fólia alatti termesztésre is ajánlott. Héja ezüstössárga, kissé varacskos, húsa sárga. Termés átlagtömege: 1-1,3kg.";1492;HUF;0.00;"2 g";493;134
ZKI;"SÁRGARÉPA KINGA F1 ZKI 3GR DB";"Vetőmag > Zöldség";https://www.online-gazda.hu/sargarepa-kinga-f1-zki-3gr-db_p494;250;https://www.online-gazda.hu/img/products//medium/SARGAREPA_KINGA_F1_ZKI_3GR_DB.jpg;"Nagy termőképességű korai hibrid. Alakja hengeres, kissé kúpos végű, nanti típusú. Tetszetős gyökerei friss piaci értékesítésre és tárolásra egyaránt alkalmasak. Magas karotin és cukortartalma kiemeli a többi hibrid közül. Tenyészideje 110-120 nap.";1640;HUF;0.00;"3 g";494;197
ZKI;"SÁRGARÉPA FERTŐDI VÖRÖS ZKI 5GR DB";"Vetőmag > Zöldség";https://www.online-gazda.hu/sargarepa-fertodi-voros-zki-5gr-db_p495;250;https://www.online-gazda.hu/img/products//medium/SARGAREPA_FERTODI_VOROS_ZKI_5GR_DB.JPG;"Hosszú típusú. Tenyészideje hosszú, 180–200 nap. Levélzete erős. A répa csapott vállú, lefelé egyenletesen vékonyodó, hegyben végződik. Gyökere finom. Színe cinóbervörös, felülete kissé gyűrűzött. Tárolásra és ipari feldolgozásra alkalmas, nagy karotintartalmú fajta.";1646;HUF;0.00;"5 g";495;197
"Rédei Kertimag";"VÖRÖSHAGYMA KARMEN     RÉDEI #A DB";"Vetőmag > Zöldség";https://www.online-gazda.hu/voroshagyma-karmen-redei-a-db_p496;190;https://www.online-gazda.hu/img/products//medium/VOROSHAGYMA_KARMEN_REDEI_A_DB.JPG;"Tenyészideje (a vetéstől) 126 nap. A hagyma lapított gömb alakú, 109 g átlagtömegű, külső és belső pikkelylevelei kárminpirosak. Elsősorban friss fogyasztásra alkalmas, de tárolásra is kiváló.";1349;HUF;0.00;"2 g";496;150
ZKI;"CSEMEGE KUKORICA MIRUS ZKI 100SZEM DB";"Vetőmag > Zöldség";https://www.online-gazda.hu/csemege-kukorica-mirus-zki-100szem-db_p497;650;https://www.online-gazda.hu/img/products//medium/CSEM_KUKORICA_MIRUS_ZKI_100SZEM_DB.jpg;"Új szereplő a friss piaci szuperédes csemegekukorica piacon. Középérésű (85-90 napos), íze kiváló, roppanó szemek felejthetetlen ízzel. Erős növekedésű, jó szárszilárdságú növény. Fattyasodásra nem hajlamos. Az érett cső nagyméretű, súlya 300 g, szemszíne mély aranysárga. Kukorica rozsdára és Helmintospóriumos levélfoltosságra rezisztens. Szakaszos vetésre alkalmas.";1913;HUF;0.00;"20 g";497;512
ZKI;"PAPRIKA ELEFÁNTORMÁNY   ZKI 1GR DB";"Vetőmag > Zöldség";https://www.online-gazda.hu/paprika-elefantormany-zki-1gr-db_p498;430;https://www.online-gazda.hu/img/products//medium/PAPRIKA_ELEFANTORMANY_ZKI_1GR_DB.JPG;"Különleges típus. Folyton növő, magas bokrú, 50-60 cm-es, bőtermő, fényhiányra nem érzékeny. Termése igen tetszetős, hosszú, elefántormányhoz hasonló, édes, csüngő, világoszöld, tömege 40–45 g. Hajtatásra, szabadföldi termesztésre ajánlott. Friss fogyasztásra egész évben alkalmas.";1863;HUF;0.00;"1 g";498;339
ZKI;"PAPRIKA ALMAPAPRIKA ZKI 1GR DB";"Vetőmag > Zöldség";https://www.online-gazda.hu/paprika-almapaprika-zki-1gr-db_p499;430;https://www.online-gazda.hu/img/products//medium/PAPRIKA_ALMAPAPRIKA_ZKI_1GR_DB.JPG;"Szabadföldi termesztésre ajánlott, vastag húsú, kellemesen csípős paprika. Folyton növő. Termése fehér, lapos, alma alakú, tömege 4045 g. Friss fogyasztás mellett konzervipari feldolgozásra, savanyításra is alkalmas.";1865;HUF;5.00;"1 g";499;339
ZKI;"OREGANO   ZKI               1GR DB";"Vetőmag > Fűszernövény";https://www.online-gazda.hu/oregano-zki-1gr-db_p500;430;https://www.online-gazda.hu/img/products//medium/OREGANO_ZKI_1GR_DB.jpg;"Évelő, 50-60 cm magas, felső részén elágazó növény. Virágai aprók lilás bordó színűek. Szárazságtűrő. Június végétől szeptemberig virágzik. Vetés: márciusban vessük 45-50 cm-es sortávolságra, 2-3 cm mélyre. Első évben csak tő levélrózsát fejleszt és csak az áttelelés után képez magszárat.Vetés: március-áprilisban szabadágyba, 0,5 cm mélyen, 20-25 cm-es sortávolságra. Vetőmagszükséglet:Vetőmagszükséglet: 8-10 g/10 m2. Felhasználás: a második évben július-augusztusban vágjuk levél nélküli virágzatát, a teljes virágzás után 8-10 nappal. Kellemes, ámbra illatú, muskotály zamatú borok készítésére használható. Teája külsőleg gyulladáscsökkentőként, belsőleg felfúvódás ellen használható.Felhasználás: júniustól szeptemberig gyűjtjük virágos hajtásait, teljes nyíláskor. Fűszerként húsételek, pizzák, saláták ízesítője. Teakeverékben köhögéscsillapító, köptető hatása van.";1873;HUF;0.00;"1 g";500;339
ZKI;"KARFIOL SUPRIMAX ZKI 1GR DB";"Vetőmag > Zöldség";https://www.online-gazda.hu/karfiol-suprimax-zki-1gr-db_p501;250;https://www.online-gazda.hu/img/products//medium/KARFIOL_SUPRIMAX_ZKI_1GR_DB.JPG;"&nbsp; &nbsp; Suprimax Késő nyári,kora őszi típus. Erőteljes növekedésű, kiváló levéltakarás jellemzi, rózsái hófehérek, a melegre nem érzékeny. Tenyészideje: 80-100 nap. Friss fogyasztásra,fagyasztásra alkalmas.&nbsp;";1877;HUF;0.00;"1 g";501;197
ZKI;"KARFIOL BETA ZKI 1.5GR DB";"Vetőmag > Zöldség";https://www.online-gazda.hu/karfiol-beta-zki-1-5gr-db_p502;250;https://www.online-gazda.hu/img/products//medium/KARFIOL_BETA_ZKI_1_5GR_DB.JPG;"&nbsp; Korai, fűtetlen fóliás hajtatásra és korai szabadföldi termesztésre &nbsp;alkalmas. &nbsp; &nbsp;Tenyészideje 54-59 nap. &nbsp; &nbsp;A fej fehér és tömör, a levelek a virágzatot &nbsp;részben takarják. &nbsp; &nbsp;Házikerti termesztésre ajánljuk. &nbsp; &nbsp;(A tasak 375-400 szem vetőmagot tartalmaz)&nbsp;";1879;HUF;0.00;"2 g";502;197
ZKI;"KARALÁBÉ GIGANT ZKI 2GR DB";"Vetőmag > Zöldség";https://www.online-gazda.hu/karalabe-gigant-zki-2gr-db_p503;250;https://www.online-gazda.hu/img/products//medium/KARALABE_GIGANT_ZKI_2GR_DB.JPG;"&nbsp; &nbsp; &nbsp; Gigant Szabadföldi termesztésre alkalmas, késői érésű fajta. Kifejezetten nagy fehér gumójú, mérete a 3-5kg-ot is eléri, nem fásodik. Friss fogyasztásra alkalmas.&nbsp;";1880;HUF;0.00;"2 g";503;197
ZKI;"KAPOR  ZKI                 4GR DB";"Vetőmag > Fűszernövény";https://www.online-gazda.hu/kapor-zki-4gr-db_p504;250;https://www.online-gazda.hu/img/products//medium/KAPOR_ZKI_4GR_DB.JPG;"Szélsőségesen gyenge talajok kivételével bárhol termeszthető. Vízigényes. Fűszerként az egész növény használható. Vetőmagszükséglet 1,2g/m2";1881;HUF;0.00;"4 g";504;197
ZKI;"HAGYMA METÉLŐ ZKI 2GR DB";"Vetőmag > Fűszernövény";https://www.online-gazda.hu/hagyma-metelo-zki-2gr-db_p505;250;https://www.online-gazda.hu/img/products//medium/HAGYMA_METELO_ZKI_2GR_DB.jpg;"&nbsp; &nbsp; &nbsp; &nbsp;Metélőhagyma Intenzíven sarjadzó, évelő növény, cserépben is hajtatható. Levelei egész télen folyamatosan szedhető, hazánkban teljesen télálló. Fényigénye mérsékelt, félárnyékban is termeszthető. Vetésidő: március Friss fogyasztásra és ételek fűszerezésére kiválóan alkalmas.&nbsp;";1882;HUF;0.00;"2 g";505;197
ZKI;"HAGYMA LONG RED FLORENCE ZKI 2GR DB";"Vetőmag > Zöldség";https://www.online-gazda.hu/hagyma-long-red-florence-zki-2gr-db_p506;250;https://www.online-gazda.hu/img/products//medium/HAGYMA_LONG_RED_FLORENCE_ZKI_2GR_DB.JPG;"Hengeres hagymatestű, lila héjszínű salátahagyma. Rózsaszín húsú, enyhén csípős ízű. Erőteljes fejlődésű, nehezen megy magszárba. Friss fogyasztás mellett tárolásra is alkalmas.";1892;HUF;14.00;"2 g";506;197
ZKI;"GÖRÖGDINNYE SUGAR BABY ZKI 2GR DB";"Vetőmag > Zöldség";https://www.online-gazda.hu/gorogdinnye-sugar-baby-zki-2gr-db_p507;250;https://www.online-gazda.hu/img/products//medium/GOROGDINNYE_SUGAR_BABY_ZKI_2GR_DB.JPG;"A legelterjedtebb, korai érésű fajta. Indája rövid, termése 2,5-3 kg átlagtömegű, gömb alakú, héja vékony, sötétzöld alapon világosabb márványozott színű. Húsa édes, élénkvörös, omlós, magja apró, barna színű, sötét foltokkal. Vetés: meleg igényes növény szabad földbe csak a fagyveszély elmúltával, májusban vessük, 3-5 cm mélyen. A palántás termesztés növeli a koraiságot és kiegyenlített állományt eredményez. Vetőmagszükséglet: 3-5 g/10 m2 helyrevetésnél, fészkenként 2-3 szem magot vessünk, amit kelés után 1-2 növényre egyelünk. Palántanevelésnél 1000 db palántához 100 g vetőmag szükséges. Térállás: sortávolság: 150 cm, tőtávolság 100 cm. Szedés: VII-VIII-ban";1897;HUF;0.00;"2 g";507;197
ZKI;"FEJESKÁPOSZTA JÚNIUSI ÓRIÁS ZKI 2GR DB";"Vetőmag > Zöldség";https://www.online-gazda.hu/fejeskaposzta-juniusi-orias-zki-2gr-db_p508;250;https://www.online-gazda.hu/img/products//medium/FEJESKAPOSZTA_JUNIUSI_ORIAS_ZKI_2GR_DB.JPG;"Fejeskáposzta Júniusi Óriás  Korai szabadföldi termesztésre és másodvetésre alkalmas fajta. A fej gömbölyű, kemény, 0,6–1,2 kg súlyú. Levélzete világoszöld, torzsája rövid. Tenyészideje a vetéstől a betakarításig 60–70 nap. Friss fogyasztásra használható fel.";1898;HUF;0.00;"2 g";508;197
ZKI;"CÉKLA RUBIN ZKI 4GR DB";"Vetőmag > Zöldség";https://www.online-gazda.hu/cekla-rubin-zki-4gr-db_p509;240;https://www.online-gazda.hu/img/products//medium/CEKLA_RUBIN_ZKI_4GR_DB.JPG;"&nbsp;Rövid tenyészidejű(90-110 nap) fajta. &nbsp; &nbsp;Fő és másodvetésként is egyaránt termeszthető. &nbsp; &nbsp;A répa szabályos gömb alakú, középnagy. &nbsp; &nbsp;Előnyös tulajdonsága az egyöntetű intenzív vörös belső szín. &nbsp; &nbsp;Konzervipari célokra, valamint színezőanyag előállítására alkalmas. &nbsp; &nbsp;(A tasak kb.280-300 szem vetőmagot tartalmaz.)&nbsp;";1899;HUF;0.00;"4 g";509;189
ZKI;"CÉKLA BÍBORHENGER ZKI 4GR DB";"Vetőmag > Zöldség";https://www.online-gazda.hu/cekla-biborhenger-zki-4gr-db_p510;240;https://www.online-gazda.hu/img/products//medium/CEKLA_BIBORHENGER_ZKI_4GR_DB.JPG;"Csávázott&nbsp;vetőmag.&nbsp;Hengeres formájú, csapott vállú, korai és másodvetésben is termeszthető cékla. Nagy termőképességű, a hazai viszonyokhoz jól alkalmazkodott fajta. Húsa sötétvörös színű, a gyűrűk alig látszanak. Jól szeletelhető, ipari feldolgozásra is javasoljuk. Rövid tenyészidejű, vetéstől a betakarításig 90-110 nap telik el. Magas tápanyag- és vízigényű. Kiemelkedően magas antioxidáns tartalma amiatt az egészséges bio étkezés nélkülözhetetlen zöldségféléje.&nbsp;";1903;HUF;0.00;"4 g";510;189
